IdSkill,id,Skill,Nombre,TipoSkill
calidad,1116458152,calidad,Calidad/QA,HardSkill
calidad,1116458136,calidad,Calidad/QA,HardSkill
calidad,1116458126,calidad,Calidad/QA,HardSkill
calidad,1116458070,calidad,Calidad/QA,HardSkill
calidad,1116457931,calidad,Calidad/QA,HardSkill
calidad,1116457540,calidad,Calidad/QA,HardSkill
calidad,1116445858,calidad,Calidad/QA,HardSkill
calidad,1115396878,calidad,Calidad/QA,HardSkill
calidad,1116456040,calidad,Calidad/QA,HardSkill
calidad,1116455994,calidad,Calidad/QA,HardSkill
calidad,1116455474,calidad,Calidad/QA,HardSkill
calidad,1116455338,calidad,Calidad/QA,HardSkill
calidad,1116455039,calidad,Calidad/QA,HardSkill
calidad,1116454932,calidad,Calidad/QA,HardSkill
calidad,1116454927,calidad,Calidad/QA,HardSkill
calidad,1116454691,calidad,Calidad/QA,HardSkill
calidad,1116454444,calidad,Calidad/QA,HardSkill
calidad,1116453978,calidad,Calidad/QA,HardSkill
calidad,1116453795,calidad,Calidad/QA,HardSkill
calidad,1116450703,calidad,Calidad/QA,HardSkill
calidad,1116453327,calidad,Calidad/QA,HardSkill
calidad,1116453205,calidad,Calidad/QA,HardSkill
calidad,1116453169,calidad,Calidad/QA,HardSkill
calidad,1116453147,calidad,Calidad/QA,HardSkill
calidad,1116453144,calidad,Calidad/QA,HardSkill
calidad,1116452976,calidad,Calidad/QA,HardSkill
calidad,1116452616,calidad,Calidad/QA,HardSkill
calidad,1116452612,calidad,Calidad/QA,HardSkill
calidad,1116452402,calidad,Calidad/QA,HardSkill
calidad,1116452385,calidad,Calidad/QA,HardSkill
calidad,1116373365,calidad,Calidad/QA,HardSkill
calidad,1116451874,calidad,Calidad/QA,HardSkill
calidad,1116451626,calidad,Calidad/QA,HardSkill
calidad,1116451442,calidad,Calidad/QA,HardSkill
calidad,1116451154,calidad,Calidad/QA,HardSkill
calidad,1116450923,calidad,Calidad/QA,HardSkill
calidad,1116450659,calidad,Calidad/QA,HardSkill
calidad,1115964199,calidad,Calidad/QA,HardSkill
calidad,1116450635,calidad,Calidad/QA,HardSkill
calidad,1116450573,calidad,Calidad/QA,HardSkill
calidad,1116450247,calidad,Calidad/QA,HardSkill
calidad,1116449703,calidad,Calidad/QA,HardSkill
calidad,1116448983,calidad,Calidad/QA,HardSkill
calidad,1116448981,calidad,Calidad/QA,HardSkill
calidad,1116217009,calidad,Calidad/QA,HardSkill
calidad,1116448860,calidad,Calidad/QA,HardSkill
calidad,1116447993,calidad,Calidad/QA,HardSkill
calidad,1116447669,calidad,Calidad/QA,HardSkill
calidad,1116447479,calidad,Calidad/QA,HardSkill
calidad,1116383284,calidad,Calidad/QA,HardSkill
calidad,1116461638,calidad,Calidad/QA,HardSkill
calidad,1116460890,calidad,Calidad/QA,HardSkill
calidad,1116458890,calidad,Calidad/QA,HardSkill
calidad,1116455838,calidad,Calidad/QA,HardSkill
calidad,1116452023,calidad,Calidad/QA,HardSkill
calidad,1116450693,calidad,Calidad/QA,HardSkill
calidad,1116451176,calidad,Calidad/QA,HardSkill
calidad,1116220134,calidad,Calidad/QA,HardSkill
